customer_id,age,gender,annual_income,loyalty_score
1,48,F,110451.97191486068,23.62645215793267
2,33,F,147681.8846328266,52.146953235830416
3,66,F,149512.98096853017,96.57651577759057
4,22,M,134742.72461461416,19.68200372579656
5,58,Other,111046.51789646027,84.81945308159229
6,37,F,121383.8209614911,64.5611329692745
7,28,M,41011.73283229979,89.95686466418084
8,37,F,21195.616710161856,11.045682743737178
9,52,M,20658.00590000843,16.919997090332366
10,35,F,109946.37570005012,65.54416469075746
11,58,M,22349.797270017712,49.89547780316003
12,65,Other,113722.1901527768,31.49801839338653
13,65,Other,67803.05439772636,27.25503440049082
14,63,F,146491.37211781793,39.91667474200928
15,25,Other,76471.26751635573,35.657762361772896
16,50,Other,84027.3001964523,20.329055792006404
17,65,Other,94360.5458971938,77.08684741632459
18,34,F,144010.71501033637,91.5715746318244
19,52,M,143899.34011311393,33.74428016238085
20,63,M,94398.02099220899,98.05282678788852
21,69,Other,59740.61250733364,19.900192083884257
22,50,Other,42034.05706919202,56.12332498337666
23,48,F,110483.87356774649,57.43605583884713
24,41,F,99950.93947089206,99.01533116032206
25,19,Other,87382.85480728578,87.85993412086759
26,34,M,37760.77308746375,71.18218869410174
27,56,M,58546.318674213806,42.558304788181374
28,67,M,99496.78241253846,9.077823859623795
29,24,M,101626.2739433227,20.23312139769218
30,25,F,123453.04702669314,89.11052883993906
31,40,Other,68825.78384319272,10.30421204424603
32,40,Other,24672.49559357647,47.09420379511356
33,39,F,131852.60038051778,25.77488469107054
34,59,F,59424.51690751897,54.17116029246889
35,54,M,127622.97049238652,27.882748666154445
36,61,M,79444.47100978471,84.36028442618615
37,49,F,90282.56580931385,64.10556024832245
38,69,M,146039.79272484066,71.74491531381526
39,36,M,71846.71718782329,43.91855302049346
40,43,M,43963.37766307811,9.00642369510257
41,26,M,27565.16741609767,91.60615903502156
42,64,F,51172.35669046242,10.293455718047884
43,42,M,56391.40660297257,95.53166278565621
44,56,Other,76637.47682812583,73.27389233962003
45,20,F,66276.448224664,76.02676493597254
46,46,F,31933.878555747444,10.321541838587452
47,47,F,147336.36872079613,18.357696719044515
48,33,F,119237.37499050843,80.88438472802717
49,53,M,80407.59568214949,65.32759458163358
50,27,F,102562.1746127937,5.4850969674324075
51,48,F,101361.78904285072,50.810489599428685
52,18,M,108915.29002175834,61.96926527460147
53,33,Other,142752.70762627176,86.85269442194537
54,49,Other,124123.40830871197,68.03966589591519
55,52,M,79572.87576389716,55.01606214227756
56,54,Other,126655.48969026485,65.496992413921
57,60,M,29016.96911377151,10.977022136365239
58,19,M,32277.584898270692,68.61767056821932
59,34,F,61466.83193818897,84.642655785976
60,43,F,125880.90273656165,28.903622702566594
61,21,F,110575.83149733959,63.26534183120852
62,46,M,124452.52095003032,28.921422684559342
63,27,M,117579.91771331159,80.87663918745913
64,66,Other,73640.29799848545,37.82979049348553
65,56,Other,140998.45232846343,85.98286243245816
66,66,Other,117613.23881289466,75.69974453438356
67,58,F,137331.87786834367,51.01998487233786
68,65,M,61606.44813397953,89.65679962112385
69,66,M,137699.65693450428,10.037381001827223
70,24,F,107980.08757515943,48.769574014621604
71,64,M,31921.53914360254,60.64165166421078
72,69,Other,47654.62635314977,94.67325974528734
73,33,M,34750.39826226824,93.16198146304197
74,56,F,91438.75470208561,44.71151963596432
75,40,M,65618.95163177024,12.58963462633298
76,29,M,118996.3821232714,62.203588268309844
77,55,Other,75391.89175610236,23.03506533953202
78,26,F,135946.59814098096,15.513877347510522
79,46,M,50319.649415188615,58.54923630545145
80,62,M,134446.7959229942,24.431834174525797
81,24,M,96945.53604676697,35.67160642333104
82,48,Other,121029.09907056678,56.2820207238447
83,44,F,137826.07006231567,12.008550748308982
84,20,M,21475.97381976448,47.3974035574185
85,37,M,126962.74574397011,74.6769540373865
86,20,M,50875.84126802109,40.62206639433046
87,66,M,132917.88666462986,23.135988013425813
88,23,F,21580.081709676124,97.01800384405627
89,64,M,25642.10182876246,92.53968969213601
90,54,Other,110403.44600386418,8.468020161887157
91,64,M,48185.18385624386,30.154900737103556
92,18,M,110600.25726229593,39.03598130654277
93,40,M,138983.0644169838,95.91153833337677
94,33,F,79235.37786214269,62.39312718235214
95,25,F,44455.75076408897,46.906142089058235
96,67,M,146671.32499660164,98.63486370348069
97,34,M,60238.59011722261,81.56570695098792
98,45,M,37314.06627908746,8.543837580317152
99,23,F,74163.0775060023,58.5350994969018
100,42,F,30757.2946045898,87.78948710665348
101,62,M,23427.706684642762,38.26987332092691
102,18,F,148345.8968109428,15.89127221924929
103,38,F,69515.8113620328,97.02152538364572
104,44,M,128982.73161244793,47.40062281970206
105,52,Other,55542.91935099181,6.581174168441784
106,23,M,89465.0157538302,75.24116419752721
107,20,M,96069.43920231135,72.88596356311295
108,27,F,69120.57140585224,24.867398400633554
109,26,F,52687.5171365338,28.19844790556497
110,21,F,134168.68677229498,75.94291408505065
111,51,Other,34762.48698595177,67.48574636368716
112,51,F,120401.39092563311,52.49618661008734
113,29,M,91747.88904068312,56.53285918200324
114,47,Other,72452.77260761161,14.267507616613432
115,64,Other,118167.84323757047,62.410645583993
116,19,Other,47685.3409961584,14.500776083090207
117,51,F,99051.42044044507,64.02778784060598
118,32,Other,31830.27183667294,72.91330623237259
119,55,M,121874.8916563486,40.25773544980574
120,59,Other,110693.44329415023,79.85070579171385
121,27,M,83975.11810033995,26.566194441596878
122,41,M,147404.23478711201,49.76919130529409
123,30,F,102342.11106117435,24.774416259041114
124,68,Other,36754.3638483844,13.67653805681947
125,48,Other,38047.53244442332,64.44659973551825
126,57,M,136582.49328778154,47.92220238602436
127,46,F,98251.60142032482,23.161057524725738
128,38,M,64860.74161691028,35.41430223378567
129,39,M,91332.99019696312,53.90792686951978
130,29,F,136248.24417647033,13.746091431664746
131,43,M,61805.75940840377,10.136768036645863
132,64,M,109412.01322249079,51.65404434117886
133,60,Other,69047.17548146943,1.2569074139810095
134,53,M,30987.210998488652,60.13053014328762
135,69,Other,89756.78397835323,92.48013415163588
136,31,F,118794.20316188614,53.59530964337987
137,19,M,28104.37712646139,15.626170098716443
138,68,Other,109331.51570243304,84.59962659072924
139,60,Other,23961.379855367242,86.8542831263976
140,55,Other,71631.29822553071,11.38204748671561
141,54,F,93315.46196244872,84.23028860191518
142,39,F,89593.62332201806,24.08842474343032
143,30,M,108283.30148878365,79.12795262212649
144,62,F,31299.63745136508,54.17354764003623
145,51,Other,116907.1316439629,43.73429507673826
146,36,F,56890.86775383418,36.945147343464875
147,43,F,51765.91021040508,50.32652208704508
148,23,M,141379.9370887837,1.7459019502733992
149,38,F,67496.3865576275,49.293170280065056
150,47,Other,31425.391190218703,80.7806237873732
151,41,Other,129500.82458876361,6.111912309576771
152,48,M,147709.22019811883,12.091851314637182
153,19,Other,132515.92636621743,81.89013502397871
